gene_id,gene_name,SAMP -PBS,SAMP-Tx1,FDR,AveExpr,P value,SAMP.R.98_S31,SAMP8.R.71_S13,SAMP8.R.72_S14,SAMP8.R.74_S16,SAMP.R.81_S28,SAMP8.R.88_S21,SAMP.R.89_S29,SAMP.R.92_S30,SAMP8.R.93_S24,SAMP8.R.103_S11,SAMP.R.104_S27,SAMP8.R.105_S12,SAMP8.R.73_S15,SAMP8.R.84_S19,SAMP8.R.85_S20,SAMP8.R.82_S17,SAMP8.R.83_S18,SAMP8.R.90_S22,SAMP8.R.91_S23,SAMP8.R.101_S10,SAMP.R.102_S26
ENSMUSG00000086503,Xist,0,0.129522187,0.698028682,3.869500062,0.606529518,23529,25612,38579,22,25,6,5,4,10,3677,12347,19467,8886,21350,33933,77,17,7,8,15,22
ENSMUSG00000098178,Yam1,0,0.72065383,0.328898938,9.990302854,0.227939581,62848,72466,30759,25465,15014,20245,90315,101263,11279,11003,258265,17533,5703,10806,7238,6965,8918,17392,28692,18221,261413
ENSMUSG00000069045,Ddx3y,0,-0.411337759,0.509238801,1.364666784,0.402010923,0,0,0,2295,716,2207,1313,1395,1451,3,11,0,0,0,0,1655,1898,2680,2792,2341.999,2654.999
ENSMUSG00000035202,Lars2,0,1.024877071,0.122191925,6.657238424,0.062324022,6090,10744,5217,3545,1471,3231,7439,6848,1158,417,28440,2160,425,1888,1242,886,1068,935,2162,1255,18393
ENSMUSG00000035383,Pmch,0,0.25966271,0.880260316,1.991138046,0.833274979,51,2409,835,50,3,2560,38,11,24,2838,11,17,74,681,2235,21,95,31,119,13,373
ENSMUSG00000061808,Ttr,0,-0.632585791,0.381426034,8.85101558,0.27647427,11597,28891,17819,23026,8144,8039,10338,11249,849,10240,1089,17245,14563,17967,34001,24364,19685,18166,3759,29346,15343
ENSMUSG00000038738,Shank1,0,0.91182619,0.10853284,8.228026758,0.053038018,13637,17777,28027.999,16787,11315,17783,5558,4306.001,1538,276.001,8247.001,8472,1852,14990.999,11572,8675,7601.001,1812,7733,2260.001,7838.999
ENSMUSG00000065037,Rn7sk,0,0.072138326,0.940723113,3.222844305,0.915587969,592,520.741,177,158,66.348,114,965,1238,123,163,5807.233,216,73,57,62,97,87.607,203,248.194,179,3109.721
ENSMUSG00000069049,Eif2s3y,0,-0.394591272,0.454472082,0.785401343,0.346298926,0,0,0,1275,505.001,1159.001,590.999,763,793.999,5,8,0,0,0,1,975.001,1047,1414.001,1276,1406,1307.999
ENSMUSG00000068457,Uty,0,-0.109432239,0.846397141,0.643832321,0.788667025,0,0,0,1373,579.001,1356,668.001,789.999,777.999,2,9,0,0,0,0,965.999,993,1164,1160,1169.999,1182
ENSMUSG00000099021,Rn7s1,0,0.329042121,0.88296906,1.001429614,0.837732994,409.596,473.549,232.972,183,0,0,755.892,560.791,163,194.381,6003.118,322.792,0,0,118,112,194,301,0,229,1120.273
ENSMUSG00000099250,Rn7s2,0,-0.383466807,0.893191548,0.647816285,0.850442277,97.404,339.451,0,0,89,178,339.108,268.209,0,101.619,4545.878,128.208,174,104,0,0,0,0,381,0,1400.727
ENSMUSG00000032589,Bsn,0,1.270448389,0.013967721,7.482483839,0.001403847,10328,13180,19903,8764,6363,11862,3619,3109,1428,435,4844,3045,931,7458,4280,2279,2943,1436,2444,2330,5076
ENSMUSG00000024393,Prrc2a,0,0.912809383,0.038764531,8.170646548,0.011877844,11546.001,17181,25355.001,14150.001,9196,16840.001,5359,4552,2119.999,562,7458,6384.999,1799,11815,9051,5443.001,6548,1857.001,6582,3057,8731
ENSMUSG00000064368,mt-Nd6,0,-1.59314409,0.005961361,5.771070652,3.1477E-05,828,704,2392,1182,486,1855,519,586,2644,2945,906,2880,5681,1407,4129,3582,2366,5683,3363,3732,1299
ENSMUSG00000029478,Ncor2,0,1.122350278,0.027588515,6.368104552,0.006647016,5002.998,6572.999,7568.998,4266.001,3131,6479.001,1324,1253.001,504,201,2124,1936.001,448,3560.001,2466,1388,1519.003,575,1231.999,802.001,2499.001
