+-----------------------------+-----+-----+-----+-----+-------+
|           DISEASE           |  CN | MCI |  AD | NaN | TOTAL |
+-----------------------------+-----+-----+-----+-----+-------+
|          Arthritis          | 781 | 217 | 274 | 156 |  1428 |
|         Hypertension        | 607 | 182 | 259 | 156 |  1204 |
|       High Cholesterol      | 508 | 176 | 147 | 137 |  968  |
|            Cancer           | 354 | 101 | 118 |  71 |  644  |
|          Depression         | 264 | 101 | 176 |  90 |  631  |
|           Anxiety           | 241 |  94 | 183 |  74 |  592  |
| Thyroid/Parathyroid Disease | 203 |  60 |  72 |  41 |  376  |
|           Diabetes          | 119 |  50 |  66 |  45 |  280  |
|        Kidney Disease       | 136 |  38 |  31 |  17 |  222  |
|         Heart Attack        |  86 |  38 |  45 |  26 |  195  |
|  Transient Ischemic Attack  |  85 |  30 |  45 |  23 |  183  |
|        Liver Disease        |  80 |  23 |  14 |  15 |  132  |
|           Epilepsy          |  10 |  6  |  5  |  13 |   34  |
+-----------------------------+-----+-----+-----+-----+-------+
